도로명주소,위도,경도,구분,이름
신부로4길 40,34.8652342642,128.7321337324,0,총명사
가조면 의상봉길 1049,35.7455609688,128.0392654362,0,고견사
고제면 용초길 310-428,35.878177215,127.8546599564,0,금봉암
남상면 연수사길 115-103,35.5975857741,127.919222848,0,연수사
북상면 송계사길 321,35.8348055863,127.7967856679,0,송계사
개천면 연화산1로 471-9,35.0808491023,128.2620792218,0,옥천사
거류면 신용9길 295,34.9836747812,128.3907825132,0,장의사
상리면 무선2길 808,34.9792473094,128.2117565464,0,문수암
영현면 대법3길 236,35.052958971,128.2241564498,0,계승사
하이면 와룡2길 248-28,34.9586322637,128.1534927,0,운흥사
대동면 대동로529번길 83,35.2500251591,128.9739665154,0,원명사
신어산길 169,35.2693820579,128.9101011518,0,영구암
신어산길 167,35.265714319,128.9121116414,0,은하사
활천로 121-57,35.2384186923,128.8942114601,0,성조암
상동면 여차로471번안길 16-133,35.3478323863,128.8740762225,0,백운암
생림면 마사로 36-228,35.3495574961,128.8614662646,0,모은암
생림면 마사로229번길 58-175,35.3554291954,128.8306889263,0,구천암
가야로405번안길 210-162,35.2461066937,128.8925458748,0,해은사
전하로 269-74,35.2261444931,128.8701896372,0,흥부암
대청계곡길 170-563,35.1956788659,128.7554274791,0,선지사
고현면 화방사길 128-6,34.8646173411,127.8638779308,0,화방사
남해읍 망운로10번길 45-10,34.8426683506,127.8916702003,0,망운사
상주면 보리암로 665,34.7538486517,127.9829945558,0,보리암
이동면 용문사길 166-11,34.7881110618,127.9231301966,0,용문사
창선면 창선로153번길 240,34.8672379563,127.9906000642,0,운대암
마산합포구 진북면 의림로 382,35.1384600692,128.4400149403,0,의림사
마산합포구 몽고정길 46,35.2065011387,128.5721895374,0,정법사
마산합포구 성호서7길 46,35.2073091314,128.5688039543,0,광산사
영남루1길 16-11,35.4917709369,128.7564146595,0,무봉사
단장면 표충로 1338,35.5322607166,128.9590441545,0,표충사
무안면 동부동안길 4,35.4715061793,128.6520375519,0,홍제사
무안면 무안서로 163-158,35.4671753731,128.6064394407,0,대법사
산내면 원서3길 167,35.6158823761,128.9274628757,0,만어사
삼랑진읍 천태로 451-94,35.4108876891,128.8847550816,0,부은사
곤명면 다솔사길 417,35.0831807599,127.9200593084,0,백천사
산청읍 웅석봉로 495,35.3841678101,127.8696982461,0,심적사
산청읍 웅석봉로 396,35.387240879,127.8768888769,0,지곡사
산청읍 꽃봉산로133번길 15,35.413576316,127.8795466722,0,대원사
시천면 지리산대로 320-292,35.3275573466,127.7359640107,0,법계사
신등면 둔철산로 675-87,35.3891180997,127.9746787335,0,정취암
신등면 율곡사길 182,35.4161829986,127.9673483493,0,율곡사
삼장면 대하내원로 256,35.3002766666,127.8100180541,0,내원사
물금읍 원동로 199-133,35.3163014543,128.9747175068,0,용화사 
상북면 천성산길 727-82,35.395903423,129.1033801246,0,원효암
상북면 홍룡로 372,35.3969996748,129.0864871696,0,홍룡사
주진로 379-61,35.4047968398,129.1311511377,0,미타암
원동면 원동로 2282-111,35.4260627088,128.9514659901,0,신흥사
중앙우회로 66-64,35.3409551533,129.0442860422,0,계원사
하북면 내원로 207,35.4457867868,129.1104518306,0,내원사
하북면 통도사로 108,35.4754091197,129.0563671778,0,통도사
동면 금산2길 210,35.3030247395,129.0438124014,0,법천사
가례면 자굴산로 1150-142,35.3774250147,128.2155283278,0,백련암
부림면 고루로 945-107,35.4283026259,128.3683802317,0,운암사
부림면 여배로5길 2,35.504904772,128.3178814033,0,유학사
용덕면 덕암로 581-137,35.3802392241,128.2516693506,0,수도사
금산면 월아산로1440번길 138,35.1907882198,128.1810645838,0,청곡사
남강로 626-71,35.1876240386,128.0757533887,0,호국사
문산읍 동부로781번길 267,35.1883575109,128.1916003995,0,두방사
의곡길 72,35.2042446939,128.08154542,0,의곡사
향교로42번길 13,35.1980539658,128.0875297836,0,연화사
이반성면 장안로65번길 291,35.2077832652,128.3514396117,0,성전사
집현면 응석로 435,35.2965741032,128.0592174025,0,응석사
망진산길 71,35.1766179422,128.0782491695,0,총림선원
진해구 대장로 273,35.1477902499,128.7793362702,0,청련사
계성면 북암길 147,35.5030168471,128.5403094417,0,삼성암
영산면 적지길 184,35.474439696,128.5476754847,0,법화사
창녕읍 신당2길 4-3,35.5395605956,128.503046256,0,창녕포교당
창녕읍 화왕산로 135-71,35.5339559192,128.5125099979,0,석불사
창녕읍 자하곡길 147,35.5436804341,128.5203753213,0,도성암
창녕읍 화왕산관룡사길 171,35.53273394,128.553526516,0,관룡사
창녕읍 새말길 142,35.5123283733,128.5651210269,0,극락암
성산구 대암로 55,35.2158880987,128.7016337808,0,불곡사
의창구 동읍 자여로 459,35.2491712474,128.7164713119,0,우곡사
성산구 곰절길 191,35.1756914982,128.7170675876,0,성주사
광도면 안정1길 363,34.9437770764,128.3951984677,0,안정사
봉수로 107-82,34.8183372436,128.4153863249,0,용화사 
북천면 상촌길 184-128,35.1540377585,127.850289667,0,양천암
악양면 평사리길 59-102,35.1519009862,127.681192429,0,한산사
양보면 상고개로 377-59,35.0646842426,127.8730032589,0,학방암
화개면 범왕길 528,35.2831837008,127.6072123256,0,칠불사
화개면 쌍계사길 59,35.2385672233,127.6608341971,0,쌍계사
군북면 사촌4길 863,35.2157123703,128.3860453729,0,원효암
칠북면 북원로 110-1,35.327461794,128.5586019335,0,장춘사
마천면 천왕봉로 1035-528,35.4079597374,127.6711393456,0,금대암
마천면 마천삼정로 544-659,35.3654252672,127.6241123868,0,영원사
마천면 광점길 27-177,35.3942445063,127.7037214369,0,벽송사
백전면 백운산길 3-291,35.6082577837,127.6383298868,0,상연대
서상면 덕유월성로 567,35.7465451532,127.679547012,0,영각사
안의면 용추계곡로 623,35.6874452755,127.7632034196,0,용추사
함양읍 상림3길 32,35.5209059721,127.7225633319,0,해인사
합천읍 죽죽길 80,35.5598525561,128.1652598441,0,연호사
용두로 31-8,35.4801877089,128.767135212,0,용궁사
마천면 천왕봉로 1035-337,35.4095638247,127.6652017247,0,안국사
악양면 신흥길 121-120,35.1666771338,127.7336734406,0,칠성사
문산읍 제곡길 215,35.1598279276,128.1869198339,1,문수암
문산읍 정자천로357번길 44-52,35.1491586808,128.1954166805,1,안전사
문산읍 제곡길98번길 23-21,35.1553472546,128.1767272116,1,여래암
문산읍 동부로588번길 42,35.167535731,128.1676377617,1,장충사
문산읍 소문길 103-19,35.1737889636,128.1723255767,1,적광사
문산읍 문정로592번길 43,35.1566678105,128.153583427,1,죽림정사
내동면 독산길 65-32,35.1614685688,128.0635044176,1,대성암
정촌면 정촌로139번길 15-30,35.1297160501,128.1080031247,1,봉은사
정촌면 무선산로 332,35.1156517448,128.1597057953,1,약수암
정촌면 정촌로139번길 22-3,35.1281700698,128.1104614637,1,월광사
정촌면 화개길236번길 19,35.1388807711,128.1117160906,1,토왕암
정촌면 대축길 223-3,35.1345483437,128.0959578993,1,화개암
금곡면 구암두문로 951-21,35.0924193062,128.1794797316,1,금화사
금곡면 검암길 243-19,35.113132032,128.2033137799,1,불광사
금곡면 송곡길 112-24,35.1310925284,128.1976112735,1,대천사 (구 송학사)
금곡면 홍정길52번길 34-3,35.1293444135,128.1732832371,1,연화사
금곡면 구암두문로 1001-11,35.0909568097,128.1847436866,1,용주사
진성면 동부로 1336-36,35.1853087777,128.2278815528,1,구룡사
진성면 진성로 350-97,35.1669250908,128.2384032134,1,구천사
진성면 대사길19번길 118-16,35.1389881345,128.2548951509,1,불광사
진성면 동산길 155,35.1986439739,128.2088337051,1,월아사
진성면 일사로 648-34,35.1642478578,128.2621497445,1,대성사
진성면 진성로276번길 260,35.1480208901,128.2390325383,1,금재사
일반성면 창촌길 32-18,35.170888159,128.278605153,1,관음사
일반성면 남산길 32-23,35.138160938,128.2851621004,1,금수암
일반성면 남산길113번길 9-19,35.1421063443,128.2929783045,1,보리암
이반성면 대천길152번길 50,35.1522664731,128.3032939148,1,대천사
이반성면 진마대로2520번길 251,35.1268347964,128.3300691109,1,승가사
이반성면 발산길47번길 200,35.154130592,128.3565259479,1,문수사
이반성면 발산길47번길 91,35.1448784774,128.3506193104,1,묘봉사
사봉면 모곡길 69-3,35.1984034606,128.2934003496,1,성남사
사봉면 부평길 356-24,35.2071018141,128.3160916039,1,약천사
사봉면 지사로552번길 23-10,35.2190914826,128.2399246892,1,보인사
지수면 지수로642번길 161,35.2492556786,128.2866218797,1,관음사
지수면 금평로242번길 13-6,35.2132298938,128.2588334269,1,금선암
지수면 용봉로249번길 35-31,35.2353112687,128.2476138339,1,길상사
